,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,pythagorean_P1,pythagorean_P2,D_Sets,D_Total,D_Total_Allowed
28,2022-07-05 06:00:00,Plachy J.,Hisler P.,2.7142857142857144,1.1428571428571428,49.285714285714285,29.285714285714285,56.0,50.714285714285715,35.57142857142857,False,0.49696015916044184,0.4458343938631375,1.571,20.0,15.143
29,2022-07-05 06:05:00,Hruska V. sr,Vrabec D.,1.8571428571428572,2.2857142857142856,44.42857142857143,41.57142857142857,73.0,49.57142857142857,38.142857142857146,False,0.46589538926768137,0.5274698570164573,-0.429,2.857,11.429
30,2022-07-05 06:30:00,Placek M.,Linder L.,3.0,2.5714285714285716,34.857142857142854,44.57142857142857,57.0,24.0,42.142857142857146,False,0.6364611282451708,0.4963834434477206,0.429,-9.714,-18.143
31,2022-07-05 06:30:00,Strnad J.,Madle L.,2.142857142857143,2.5714285714285716,43.57142857142857,39.57142857142857,69.0,40.142857142857146,40.142857142857146,False,0.5687499197159168,0.4613920016015984,-0.429,4.0,0.0
103,2022-07-05 17:30:00,Skokan V.,Brozik K.,2.2857142857142856,0.5714285714285714,38.857142857142854,24.571428571428573,81.0,34.142857142857146,37.714285714285715,True,0.5,0.2830928412471425,1.714,14.286,-3.571
105,2022-07-05 18:00:00,Kutifel J.,Skokan V.,3.0,2.6666666666666665,37.2,35.733333333333334,56.0,29.2,28.2,False,0.5985444624927414,0.5338525281484623,0.333,1.467,1.0
117,2022-07-05 19:30:00,Kutifel J.,Brozik K.,3.0,0.6451612903225806,39.16129032258065,29.548387096774192,79.0,37.354838709677416,40.774193548387096,True,0.5654538054889829,0.3172082524873215,2.355,9.613,-3.419
122,2022-07-05 20:00:00,Kutifel J.,Brozik K.,1.4761904761904763,0.8253968253968254,30.952380952380953,30.793650793650794,69.0,35.142857142857146,40.888888888888886,False,0.5349837882720455,0.3304314030825578,0.651,0.159,-5.746
123,2022-07-05 20:00:00,Pycha P.,Kliuchuk R.,2.142857142857143,1.8571428571428572,37.285714285714285,36.285714285714285,66.0,39.142857142857146,37.285714285714285,False,0.48366479276141683,0.43755817149352927,0.286,1.0,1.857
136,2022-07-05 22:00:00,Hisler P.,Kucirek O.,0.5161290322580645,3.0,27.774193548387096,46.03225806451613,93.0,36.41935483870968,41.064516129032256,True,0.4256421502469287,0.5985444624927413,-2.484,-18.258,-4.645
168,2022-07-06 03:00:00,Klimenta M.,Pusch F.,1.035294117647059,2.3333333333333335,30.862745098039216,45.666666666666664,67.0,40.082352941176474,44.93333333333333,False,0.4593627937846124,0.4838568774145236,-1.298,-14.804,-4.851
