,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,pythagorean_P1,pythagorean_P2,D_Sets,D_Total,D_Total_Allowed
37782,1731402000,707970,816731,2.0862458200212073,2.113684390591931,37.48284825478158,38.975956360903126,115,36.95470809683639,36.7827446036671,True,0.5051867265249633,0.5370908686311132,-0.027,-1.493,0.172
37762,1731409200,820666,816731,2.0136453758414103,2.033947835592075,35.50304782550548,38.3355559851085,60,37.05699829586073,36.67776844491394,False,0.48689994453782137,0.534224540015082,-0.02,-2.833,0.379
37752,1731412800,707970,820666,2.152254596735155,1.9393991787659681,38.361190315743954,35.26327046637552,98,37.62137564918265,36.981153610053276,True,0.5062795423310349,0.4859197525948611,0.213,3.098,0.64
37734,1731420300,815950,747620,2.1162597638130785,2.3174073133140682,37.322271626140825,38.033389714655875,52,35.402827060813784,34.354746323841375,False,0.5213751283419478,0.5504436308351675,-0.201,-0.711,1.048
37718,1731426300,747620,815950,2.34268229292831,2.149277273610064,37.84701382034894,37.23550899722829,55,33.786192180372346,35.0141659697688,False,0.5525598207151988,0.5231170381444031,0.193,0.612,-1.228
37609,1731477600,815950,747620,2.069343538774803,2.366918606137149,36.55731248965431,37.66829697792447,70,34.93925715715604,33.24100256963438,False,0.5200494495451143,0.5546291262506003,-0.298,-1.111,1.698
37601,1731483000,968152,747620,2.0720273925307024,2.3901663304374208,38.42986818730291,37.53359146040174,53,38.61795012666461,32.79149409306806,False,0.4936570844258962,0.5564326943726764,-0.318,0.896,5.826
37584,1731488400,815950,968152,1.9561169618000769,2.028147520184167,35.76071958709947,38.123271841521515,58,35.09235813377749,38.67481616569807,False,0.5150288275269648,0.49193374024652325,-0.072,-2.363,-3.582
37559,1731497700,820666,816731,2.0141041881440263,2.0338932090125224,36.14979981033499,38.40735077712657,68,37.535328646480274,35.33675232696965,False,0.48737506028678235,0.5403629621870605,-0.02,-2.258,2.199
37544,1731504600,815950,968152,1.9936530688881073,2.0251745966565218,35.48280084796964,38.04136908115421,101,35.018151626144956,38.6466775715313,True,0.5138441434375227,0.4917506753355109,-0.032,-2.559,-3.629
37525,1731512700,820666,816731,2.0142853578589945,2.0302688628055536,36.069686198905366,38.652939729154795,70,37.5263499547637,35.454786233198924,False,0.4868565664287874,0.5409006159501015,-0.016,-2.583,2.072
37452,1731535200,833546,375444,2.1046797424796075,1.7442486750885824,35.967169973074085,35.596011126601375,56,33.50896832550365,38.13003732894787,False,0.527355386849417,0.49510496738838966,0.36,0.371,-4.621
37418,1731567600,783710,820666,1.8750972845723728,2.0496002663527864,34.78647677570528,36.2821498068013,87,34.976308756737865,37.185052217518376,True,0.4987244443200712,0.48941715344560466,-0.175,-1.496,-2.209
37413,1731569700,817602,815950,1.5405516256206446,1.9575766325955508,35.72687811692038,35.42896498513053,51,39.405473513509286,35.126413217903355,False,0.45998127801701855,0.5129060905153559,-0.417,0.298,4.279
37393,1731576900,817602,968152,1.5956078043439783,1.9891840459456054,36.07669703801459,37.83931413143149,54,39.69196916138524,38.935340172740986,False,0.4603782264930135,0.48933265506930407,-0.394,-1.763,0.757
37383,1731580500,968152,815950,1.9531386856669672,1.9966430077242416,37.80872995412051,35.91929800637541,93,38.864817367531884,34.99272403047362,True,0.4894838464585685,0.5157413641732039,-0.044,1.889,3.872
37380,1731582000,714093,820666,2.0760418850281965,2.1132233414604675,38.062253635634875,37.090476882183616,56,37.25377137381786,37.5976145138021,False,0.49631713079531914,0.491363914996042,-0.037,0.972,-0.344
37347,1731592200,748305,783710,1.3267047343396805,1.757291270677424,33.07319252587628,34.690243556503525,59,37.853079577557345,35.583282829973335,False,0.45453947534798056,0.4947065882568997,-0.431,-1.617,2.27
37343,1731594000,714093,820666,2.0316570503949802,2.072347931031721,37.71242407388412,36.498739717025316,75,37.157492431754264,36.99322067570655,True,0.49543600302921237,0.49137756293923224,-0.041,1.214,0.164
37330,1731598200,833546,375444,2.170796002533509,1.6177310481156517,36.14867209799928,34.823811563717015,94,33.20368926745959,37.901793771709016,True,0.5302582281347964,0.4914099398231777,0.553,1.325,-4.698
37328,1731599100,815950,968152,2.0672562310964193,2.0278321064385394,36.39988166327284,38.190309320635755,52,35.304353790335725,38.1553512267013,False,0.5162406191596316,0.494617792875263,0.039,-1.79,-2.851
37263,1731616200,375444,747673,1.7298491829816582,1.9974549494824956,35.93303713500662,37.730667052081465,100,38.75131786474676,37.529814060596394,True,0.491513301138073,0.5105769278719631,-0.268,-1.798,1.222
37243,1731623400,747673,833546,2.033950751002199,2.066971748396456,38.383790012582054,35.904063163218495,57,37.941152750886005,33.9724159385885,False,0.5115412175209559,0.5254548219625694,-0.033,2.48,3.969
