Date,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1751326800,830047,973938,3,0,12,10,11,6,11,2,0,0,0,0,1
1751326500,767041,699247,3,0,11,7,12,10,11,9,0,0,0,0,1
1751326500,1013489,776317,3,2,16,14,11,6,9,11,9,11,13,11,1
1751326200,771955,1073817,2,3,18,16,13,11,7,11,10,12,8,11,0
1751325000,973938,699247,2,3,8,11,11,6,11,9,6,11,5,11,0
1751324700,273429,750316,3,1,11,9,4,11,11,8,11,5,0,0,1
1751324700,767041,830047,3,1,12,10,9,11,11,5,11,3,0,0,1
1751324400,943432,980063,1,3,6,11,8,11,11,5,8,11,0,0,0
1751323200,699247,830047,3,2,9,11,11,8,11,6,9,11,11,8,1
1751323200,997912,996462,0,3,6,11,6,11,12,14,0,0,0,0,0
1751322900,832727,820053,0,3,10,12,7,11,8,11,0,0,0,0,0
1751322900,767041,973938,1,3,11,7,12,14,6,11,7,11,0,0,0
1751322300,684030,920400,1,3,12,10,9,11,11,13,10,12,0,0,0
1751321400,1054130,1050239,2,3,12,10,4,11,11,4,6,11,9,11,0
1751321400,755083,659887,3,0,11,7,11,7,11,5,0,0,0,0,1
1751321100,820053,1013489,1,3,6,11,7,11,11,3,6,11,0,0,0
1751320500,1142552,817959,3,1,8,11,13,11,13,11,11,8,0,0,1
1751320500,1084329,380385,1,3,10,12,11,4,14,16,6,11,0,0,0
1751319600,977429,675861,3,2,11,9,11,13,11,6,10,12,12,10,1
1751319600,1107118,700866,3,1,11,9,11,2,10,12,11,7,0,0,1
1751319300,750316,273429,0,3,6,11,2,11,3,11,0,0,0,0,0
1751318700,380282,384003,3,2,9,11,11,5,9,11,11,9,11,5,1
1751318700,1142552,920400,1,3,6,11,11,13,11,7,4,11,0,0,0
1751318700,595340,920400,1,3,6,11,11,13,11,7,4,11,0,0,0
1751317800,659887,755083,0,3,8,11,6,11,6,11,0,0,0,0,0
1751317500,832727,776317,3,0,11,6,11,8,11,7,0,0,0,0,1
1751317200,1107118,700866,3,1,3,11,11,9,11,5,11,9,0,0,1
1751316900,684030,817959,2,3,7,11,11,8,13,11,9,11,4,11,0
1751316600,380282,1084329,1,3,11,8,9,11,7,11,7,11,0,0,0
1751316000,675861,977429,0,3,4,11,4,11,13,15,0,0,0,0,0
1751315700,1013489,273429,3,2,11,8,6,11,12,10,9,11,11,8,1
1751315400,997912,1050239,3,2,11,9,11,8,8,11,5,11,11,8,1
1751315100,920400,817959,3,0,11,9,11,9,11,8,0,0,0,0,1
1751314800,384003,380385,0,3,4,11,7,11,7,11,0,0,0,0,0
1751314200,755083,977429,3,0,11,5,11,6,11,9,0,0,0,0,1
1751313900,776317,820053,3,1,7,11,11,4,11,8,11,7,0,0,1
1751313600,1054130,996462,0,3,3,11,10,12,6,11,0,0,0,0,0
1751313300,684030,1142552,3,0,11,6,11,6,11,6,0,0,0,0,1
1751313300,684030,595340,3,0,11,6,11,6,10,6,0,0,0,0,1
1751313000,1084329,380385,3,1,11,13,11,8,11,6,11,7,0,0,1
1751312400,675861,659887,0,3,4,11,9,11,10,12,0,0,0,0,0
1751312100,832727,750316,0,3,9,11,8,11,9,11,0,0,0,0,0
1751311800,700866,1050239,2,3,11,6,11,8,3,11,8,11,9,11,0
1751311500,817959,1142552,2,3,11,13,7,11,11,7,11,6,7,11,0
1751311500,817959,595340,2,3,11,13,7,11,11,7,11,6,7,11,0
1751311200,384003,380282,0,3,9,11,5,11,6,11,0,0,0,0,0
